"DATE","IC4WSA"
"1977-12-03",353750
"1977-12-10",361250
"1977-12-17",361000
"1977-12-24",358500
"1977-12-31",357750
"1978-01-07",353250
"1978-01-14",349250
"1978-01-21",351250
"1978-01-28",351000
"1978-02-04",354500
"1978-02-11",362000
"1978-02-18",381250
"1978-02-25",383250
"1978-03-04",382000
"1978-03-11",378500
"1978-03-18",358000
"1978-03-25",349000
"1978-04-01",343500
"1978-04-08",340000
"1978-04-15",330500
"1978-04-22",326500
"1978-04-29",324250
"1978-05-06",321500
"1978-05-13",324750
"1978-05-20",328500
"1978-05-27",327000
"1978-06-03",321000
"1978-06-10",323250
"1978-06-17",321250
"1978-06-24",324250
"1978-07-01",333750
"1978-07-08",340000
"1978-07-15",346500
"1978-07-22",351250
"1978-07-29",350750
"1978-08-05",353000
"1978-08-12",353500
"1978-08-19",352000
"1978-08-26",348750
"1978-09-02",335750
"1978-09-09",331500
"1978-09-16",326250
"1978-09-23",323750
"1978-09-30",325000
"1978-10-07",326500
"1978-10-14",325000
"1978-10-21",328750
"1978-10-28",328250
"1978-11-04",321750
"1978-11-11",318750
"1978-11-18",319750
"1978-11-25",330500
"1978-12-02",345500
"1978-12-09",355500
"1978-12-16",356750
"1978-12-23",355000
"1978-12-30",350250
"1979-01-06",354000
"1979-01-13",365250
"1979-01-20",361500
"1979-01-27",357500
"1979-02-03",354750
"1979-02-10",346500
"1979-02-17",354000
"1979-02-24",358500
"1979-03-03",360250
"1979-03-10",361250
"1979-03-17",359250
"1979-03-24",357500
"1979-03-31",358750
"1979-04-07",384250
"1979-04-14",408750
"1979-04-21",416250
"1979-04-28",415500
"1979-05-05",387500
"1979-05-12",359250
"1979-05-19",350000
"1979-05-26",348000
"1979-06-02",343750
"1979-06-09",349000
"1979-06-16",350250
"1979-06-23",357750
"1979-06-30",366000
"1979-07-07",366750
"1979-07-14",371000
"1979-07-21",375000
"1979-07-28",379250
"1979-08-04",390250
"1979-08-11",394750
"1979-08-18",392750
"1979-08-25",393750
"1979-09-01",388000
"1979-09-08",386000
"1979-09-15",385250
"1979-09-22",384750
"1979-09-29",385000
"1979-10-06",393500
"1979-10-13",395750
"1979-10-20",400250
"1979-10-27",402250
"1979-11-03",398000
"1979-11-10",403250
"1979-11-17",409250
"1979-11-24",413250
"1979-12-01",418500
"1979-12-08",418750
"1979-12-15",414000
"1979-12-22",428250
"1979-12-29",431250
"1980-01-05",426000
"1980-01-12",424500
"1980-01-19",418250
"1980-01-26",414250
"1980-02-02",416750
"1980-02-09",421750
"1980-02-16",414000
"1980-02-23",418000
"1980-03-01",419250
"1980-03-08",417500
"1980-03-15",421750
"1980-03-22",423500
"1980-03-29",440000
"1980-04-05",451500
"1980-04-12",479500
"1980-04-19",507750
"1980-04-26",529750
"1980-05-03",556750
"1980-05-10",571000
"1980-05-17",594500
"1980-05-24",610500
"1980-05-31",626750
"1980-06-07",629000
"1980-06-14",616500
"1980-06-21",609500
"1980-06-28",607000
"1980-07-05",599250
"1980-07-12",584500
"1980-07-19",576500
"1980-07-26",559250
"1980-08-02",556750
"1980-08-09",556750
"1980-08-16",546250
"1980-08-23",534750
"1980-08-30",518000
"1980-09-06",512500
"1980-09-13",504250
"1980-09-20",492500
"1980-09-27",482750
"1980-10-04",470500
"1980-10-11",459250
"1980-10-18",449250
"1980-10-25",438000
"1980-11-01",427250
"1980-11-08",417250
"1980-11-15",417750
"1980-11-22",412750
"1980-11-29",411000
"1980-12-06",413250
"1980-12-13",409750
"1980-12-20",413250
"1980-12-27",410000
"1981-01-03",408500
"1981-01-10",410000
"1981-01-17",412250
"1981-01-24",411500
"1981-01-31",413750
"1981-02-07",414000
"1981-02-14",414500
"1981-02-21",425000
"1981-02-28",428750
"1981-03-07",426000
"1981-03-14",422250
"1981-03-21",413000
"1981-03-28",407500
"1981-04-04",409500
"1981-04-11",406500
"1981-04-18",404250
"1981-04-25",410250
"1981-05-02",409250
"1981-05-09",416000
"1981-05-16",421500
"1981-05-23",416250
"1981-05-30",417250
"1981-06-06",418500
"1981-06-13",421250
"1981-06-20",426250
"1981-06-27",433000
"1981-07-04",441000
"1981-07-11",441250
"1981-07-18",440000
"1981-07-25",430750
"1981-08-01",434750
"1981-08-08",440250
"1981-08-15",443250
"1981-08-22",450000
"1981-08-29",443750
"1981-09-05",450000
"1981-09-12",453000
"1981-09-19",463250
"1981-09-26",473250
"1981-10-03",477250
"1981-10-10",486500
"1981-10-17",489500
"1981-10-24",487500
"1981-10-31",493750
"1981-11-07",499500
"1981-11-14",507000
"1981-11-21",502250
"1981-11-28",511750
"1981-12-05",522750
"1981-12-12",531250
"1981-12-19",550000
"1981-12-26",551000
"1982-01-02",535250
"1982-01-09",533750
"1982-01-16",521250
"1982-01-23",523250
"1982-01-30",545250
"1982-02-06",548000
"1982-02-13",552500
"1982-02-20",547500
"1982-02-27",533750
"1982-03-06",533750
"1982-03-13",541750
"1982-03-20",545000
"1982-03-27",556500
"1982-04-03",562000
"1982-04-10",573500
"1982-04-17",583500
"1982-04-24",587000
"1982-05-01",586500
"1982-05-08",586250
"1982-05-15",583250
"1982-05-22",582750
"1982-05-29",585750
"1982-06-05",592500
"1982-06-12",599750
"1982-06-19",601000
"1982-06-26",599500
"1982-07-03",596750
"1982-07-10",586250
"1982-07-17",580250
"1982-07-24",568750
"1982-07-31",570000
"1982-08-07",578500
"1982-08-14",596000
"1982-08-21",619000
